year, income
2000, 33645
2001, 34216
2002, 34894
2003, 35474
2004, 36325
2005, 36526
2006, 37570
2007, 38093
2008, 38188
2009, 37814
2010, 38282
2011, 38769
2012, 39732
2013, 38947
2014, 40118
2015, 41383
2016, 41821
2017, 42699
2018, 43886
2019, 44644
2020, 47241
2021, 48219
